date, value
1/3/1997,92.309
1/4/1997,92.665
1/5/1997,91.575
1/6/1997,91.135
1/7/1997,92.16
1/8/1997,93.711
1/9/1997,93.953
1/10/1997,94.614
1/11/1997,95.997
1/12/1997,99.362
1/1/1998,102.108
1/2/1998,100.39
1/3/1998,100.06
1/4/1998,99.785
1/5/1998,100.562
1/6/1998,102.727
1/7/1998,103.031
1/8/1998,104.641
1/9/1998,102.837
1/10/1998,99.946
1/11/1998,99.608
1/12/1998,98.711
1/1/1999,98.788
1/2/1999,100.005
1/3/1999,101.095
1/4/1999,100.999
1/5/1999,100.719
1/6/1999,101.152
1/7/1999,101.423
1/8/1999,100.428
1/9/1999,100.005
1/10/1999,99.537
1/11/1999,99.833
1/12/1999,99.933
1/1/2000,99.871
1/2/2000,101.233
1/3/2000,101.71
1/4/2000,102.282
1/5/2000,104.515
1/6/2000,103.619
1/7/2000,103.893
1/8/2000,104.368
1/9/2000,105.843
1/10/2000,107.344
1/11/2000,107.956
1/12/2000,107.105
1/1/2001,107.458
1/2/2001,108.267
1/3/2001,109.861
1/4/2001,110.499
1/5/2001,110.543
1/6/2001,111.364
1/7/2001,111.493
1/8/2001,109.517
1/9/2001,110.129
1/10/2001,110.519
1/11/2001,110.999
1/12/2001,110.944
1/1/2002,112.174
1/2/2002,112.767
1/3/2002,112.155
1/4/2002,111.927
1/5/2002,110.419
1/6/2002,108.955
1/7/2002,107.364
1/8/2002,108.653
1/9/2002,109.487
1/10/2002,110.283
1/11/2002,109.058
1/12/2002,108.482
1/1/2003,107.183
1/2/2003,107.322
1/3/2003,106.834
1/4/2003,105.664
1/5/2003,102.119
1/6/2003,101.613
1/7/2003,102.877
1/8/2003,104.24
1/9/2003,103.178
1/10/2003,100.866
1/11/2003,100.468
1/12/2003,99.121
1/1/2004,97.648
1/2/2004,98.246
1/3/2004,99.156
1/4/2004,99.746
1/5/2004,101.485
1/6/2004,100.643
1/7/2004,99.858
1/8/2004,99.823
1/9/2004,99.547
1/10/2004,98.383
1/11/2004,96.184
1/12/2004,95.058
1/1/2005,95.45
1/2/2005,95.698
1/3/2005,95.307
1/4/2005,96.234
1/5/2005,96.47
1/6/2005,97.334
1/7/2005,97.987
1/8/2005,97.148
1/9/2005,98.022
1/10/2005,98.909
1/11/2005,99.049
1/12/2005,98.264
1/1/2006,97.124
1/2/2006,97.313
1/3/2006,97.516
1/4/2006,97.021
1/5/2006,95.1
1/6/2006,96.341
1/7/2006,96.491
1/8/2006,96.056
1/9/2006,95.737
1/10/2006,95.465
1/11/2006,94.484
1/12/2006,93.888
1/1/2007,94.827
1/2/2007,94.65
1/3/2007,94.417
1/4/2007,93.291
1/5/2007,92.63
1/6/2007,92.359
1/7/2007,90.979
1/8/2007,91.175
1/9/2007,90.096
1/10/2007,88.163
1/11/2007,87.124
1/12/2007,87.769
1/1/2008,87.111
1/2/2008,86.054
1/3/2008,84.386
1/4/2008,83.957
1/5/2008,84.308
1/6/2008,84.802
1/7/2008,84.398
1/8/2008,86.461
1/9/2008,88.575
1/10/2008,93.654
1/11/2008,94.491
1/12/2008,92.996
1/1/2009,93.777
1/2/2009,96.406
1/3/2009,96.618
1/4/2009,94.222
1/5/2009,91.496
1/6/2009,90.868
1/7/2009,90.433
1/8/2009,89.366
1/9/2009,88.735
1/10/2009,87.592
1/11/2009,87.156
1/12/2009,87.389
1/1/2010,87.401
1/2/2010,88.406
1/3/2010,87.527
1/4/2010,86.925
1/5/2010,89.108
1/6/2010,89.45
1/7/2010,87.977
1/8/2010,87.207
1/9/2010,86.27
1/10/2010,83.912
1/11/2010,83.955
1/12/2010,84.593
1/1/2011,83.567
1/2/2011,82.989
1/3/2011,82.308
1/4/2011,81.026
1/5/2011,81.052
1/6/2011,80.834
1/7/2011,80.241
1/8/2011,80.789
1/9/2011,83.46
1/10/2011,84.036
1/11/2011,84.562
1/12/2011,85.247
1/1/2012,84.59
1/2/2012,83.33
1/3/2012,83.694
1/4/2012,83.898
1/5/2012,85.128
1/6/2012,86.229
1/7/2012,85.72
1/8/2012,85.16
1/9/2012,84.012
1/10/2012,83.817
1/11/2012,84.099
